Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Price Category
Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic,6240000,1
Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic,6825000,1
Lexus,2007.0,Foreign Used,348830.0,3500.0,Petrol,Automatic,4095000,0
Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic,9048000,1
Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic,4680000,0
Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic,8820000,1
Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic,6090000,1
Mercedes-Benz,,,59295.0,,,Automatic,5610000,1
Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic,6240000,1
Acura,2007.0,Foreign Used,233488.0,3700.0,Petrol,Automatic,3570000,0
Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic,15600000,1
Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic,4200000,0
Mercedes-Benz,2014.0,Nigerian Used,152669.0,4700.0,Petrol,Automatic,13520000,1
Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic,9660000,1
Toyota,2008.0,Foreign Used,132566.0,4700.0,Petrol,Automatic,8320000,1
Lexus,2007.0,Foreign Used,255839.0,3500.0,Petrol,Automatic,5460000,1
Toyota,2013.0,Nigerian Used,126686.0,3500.0,Petrol,Automatic,7280000,1
Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic,9048000,1
Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic,5200000,1
Land Rover,2013.0,Nigerian Used,76069.0,4500.0,Petrol,Automatic,4200000,0
Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic,3885000,0
Lexus,2002.0,Foreign Used,119143.0,3000.0,Petrol,Automatic,3848000,0
Land Rover,2011.0,Nigerian Used,26628.0,5000.0,Petrol,Automatic,9360000,1
Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic,3675000,0
Lexus,2007.0,Foreign Used,175135.0,3500.0,Petrol,Automatic,4500000,0
Tata,2008.0,Foreign Used,,371000.0,Diesel,Manual,17850000,1
Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic,4784000,0
Toyota,2004.0,Foreign Used,294359.0,2400.0,Petrol,Automatic,4160000,0
Saturn,2007.0,Nigerian Used,,3600.0,Petrol,Automatic,3150000,0
Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic,14560000,1
Porsche,2004.0,Foreign Used,359713.0,4500.0,Petrol,Automatic,4200000,0
Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic,6240000,1
Toyota,2014.0,Foreign Used,65308.0,2000.0,Petrol,Automatic,9450000,1
Lexus,2007.0,Foreign Used,198969.0,2500.0,Petrol,Automatic,4992000,0
Toyota,2007.0,Foreign Used,149184.0,4000.0,Petrol,Automatic,6448000,1
Lexus,2009.0,Foreign Used,173307.0,3500.0,Petrol,Automatic,4500000,0
Toyota,2009.0,Foreign Used,208827.0,2400.0,Petrol,Automatic,3952000,0
Lexus,2006.0,Foreign Used,376865.0,3500.0,Petrol,Automatic,4680000,0
Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic,23920000,1
Lexus,2008.0,Nigerian Used,97315.0,3200.0,Petrol,Automatic,3640000,0
Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic,4784000,0
Toyota,2015.0,Foreign Used,96531.0,3500.0,Petrol,Automatic,10290000,1
Acura,2011.0,Nigerian Used,78613.0,3700.0,Petrol,Automatic,6240000,1
Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic,3150000,0
Mercedes-Benz,2010.0,Foreign Used,,2500.0,Petrol,Automatic,4200000,0
Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic,3328000,0
Lexus,2007.0,Foreign Used,65060.0,3500.0,Petrol,AMT,3885000,0
Mercedes-Benz,2007.0,Nigerian Used,1966.0,35.0,Petrol,Automatic,5720000,1
Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic,12600000,1
Lexus,2011.0,Foreign Used,137902.0,3000.0,Petrol,Automatic,4992000,0
Mercedes-Benz,2009.0,Nigerian Used,121829.0,4600.0,Petrol,Automatic,5720000,1
Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic,6240000,1
Mercedes-Benz,2013.0,Foreign Used,232813.0,4700.0,Petrol,Automatic,14560000,1
Lexus,2007.0,Foreign Used,124511.0,3500.0,Petrol,Automatic,4200000,0
Mercedes-Benz,2010.0,Foreign Used,,2500.0,Petrol,Automatic,4200000,0
Lexus,2015.0,Nigerian Used,24855.0,3500.0,Petrol,Automatic,10920000,1
Land Rover,2006.0,Foreign Used,213515.0,4400.0,Petrol,Automatic,3150000,0
Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic,10500000,1
Mercedes-Benz,2008.0,Foreign Used,227689.0,3500.0,Petrol,Automatic,3885000,0
Toyota,2010.0,Foreign Used,236601.0,2500.0,Petrol,Automatic,6448000,1
Land Rover,2016.0,Foreign Used,102429.0,35.0,Petrol,Automatic,36750000,1
Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic,12600000,1
Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic,3150000,0
Mercedes-Benz,2011.0,Nigerian Used,112122.0,4700.0,Petrol,Automatic,6760000,1
Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic,4680000,0
Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic,4680000,0
Toyota,2008.0,Foreign Used,93474.0,3500.0,Petrol,Automatic,6300000,1
Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic,4515000,0
Mercedes-Benz,2015.0,Foreign Used,168946.0,3500.0,Petrol,Automatic,17680000,1
Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic,10400000,1
Lexus,2007.0,Foreign Used,104138.0,3500.0,Petrol,Automatic,5928000,1
Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic,3780000,0
Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic,13520000,1
Toyota,2008.0,Nigerian Used,118743.0,3500.0,Petrol,Automatic,4784000,0
Toyota,2010.0,Foreign Used,131164.0,2700.0,Petrol,Automatic,6090000,1
Toyota,2009.0,Foreign Used,168603.0,2500.0,Petrol,Automatic,4620000,0
Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic,5200000,1
Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic,3675000,0
Land Rover,2014.0,Nigerian Used,56908.0,5000.0,Petrol,Automatic,26000000,1
Lexus,2008.0,Foreign Used,200262.0,35000.0,Petrol,Automatic,4680000,0
Toyota,2009.0,Nigerian Used,205371.0,3500.0,Petrol,Automatic,7072000,1
Mercedes-Benz,2006.0,Nigerian Used,380097.0,5000.0,Petrol,Automatic,5200000,1
Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic,14560000,1
Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic,3150000,0
Lexus,2008.0,Foreign Used,85901.0,3500.0,Petrol,Automatic,3885000,0
Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic,4992000,0
Toyota,2007.0,Foreign Used,274477.0,2400.0,Petrol,Automatic,3640000,0
Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic,10500000,1
Toyota,2011.0,Foreign Used,166839.0,2500.0,Petrol,Automatic,4160000,0
Mercedes-Benz,,,118616.0,,,Automatic,11210000,1
Toyota,2014.0,Foreign Used,70649.0,3500.0,Petrol,Automatic,8400000,1
Mercedes-Benz,2008.0,Nigerian Used,215559.0,,Petrol,Automatic,6032000,1
Mercedes-Benz,2008.0,Nigerian Used,650.0,4000.0,Petrol,Automatic,6760000,1
Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic,4200000,0
Toyota,2013.0,Nigerian Used,79393.0,4700.0,Petrol,Automatic,26000000,1
Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic,4680000,0
Toyota,2010.0,Foreign Used,237886.0,2400.0,Petrol,Automatic,3675000,0
Lexus,2006.0,Nigerian Used,144513.0,3300.0,Petrol,Automatic,3744000,0
Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic,10400000,1
Mercedes-Benz,2016.0,Nigerian Used,62476.0,3500.0,Petrol,Automatic,15750000,1
Lexus,2008.0,Nigerian Used,224605.0,4600.0,Petrol,Automatic,4725000,0
Toyota,2016.0,Foreign Used,149753.0,2500.0,Hybrid,Automatic,5985000,1
Toyota,2013.0,Foreign Used,169183.0,2700.0,Petrol,Automatic,8610000,1
Mercedes-Benz,2013.0,Foreign Used,222344.0,3500.0,Petrol,Automatic,8925000,1
Toyota,2011.0,Foreign Used,93785.0,3000.0,Petrol,Automatic,8528000,1
Mercedes-Benz,2010.0,Nigerian Used,299309.0,4600.0,Petrol,Automatic,5775000,1
Toyota,2009.0,Foreign Used,137397.0,2400.0,Petrol,Automatic,3952000,0
Acura,2011.0,Nigerian Used,178050.0,3700.0,Petrol,Automatic,5200000,1
Toyota,2015.0,Foreign Used,218139.0,2700.0,Petrol,Automatic,8925000,1
Mercedes-Benz,2008.0,Foreign Used,175183.0,3000.0,Petrol,Automatic,4680000,0
Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic,3780000,0
Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic,11232000,1
Land Rover,2006.0,Nigerian Used,113872.0,4400.0,Petrol,Automatic,3120000,0
Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic,5200000,1
Toyota,2011.0,Foreign Used,257742.0,3500.0,Petrol,Automatic,4935000,0
Toyota,2014.0,Foreign Used,86077.0,3500.0,Petrol,Automatic,14700000,1
Toyota,2012.0,Nigerian Used,76334.0,3500.0,Petrol,Automatic,5565000,1
Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic,23920000,1
Mercedes-Benz,2011.0,Nigerian Used,193201.0,3500.0,Petrol,Automatic,5616000,1
Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic,3328000,0
Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic,4515000,0
Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic,3150000,0
Toyota,2014.0,Foreign Used,89208.0,2500.0,Petrol,Automatic,5250000,1
Lexus,2008.0,Nigerian Used,186699.0,3500.0,Petrol,Automatic,3640000,0
Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic,5200000,1
Lexus,2014.0,Nigerian Used,69129.0,4600.0,Petrol,Automatic,18375000,1
Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic,6825000,1
Toyota,2010.0,Nigerian Used,106427.0,3500.0,Petrol,Automatic,6968000,1
Toyota,2016.0,Foreign Used,55055.0,2500.0,Petrol,Automatic,6720000,1
Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic,3885000,0
Lexus,2008.0,Foreign Used,323768.0,3500.0,Petrol,Automatic,3832500,0
Lincoln,2019.0,Nigerian Used,35976.0,2000.0,Petrol,Automatic,17850000,1
Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic,15600000,1
Toyota,2015.0,Foreign Used,40962.0,2500.0,Petrol,Automatic,10400000,1
Toyota,2011.0,Foreign Used,142689.0,2400.0,Petrol,Automatic,4680000,0
Mercedes-Benz,2012.0,Nigerian Used,99661.0,3500.0,Petrol,Automatic,7280000,1
Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic,6825000,1
Mercedes-Benz,2010.0,Foreign Used,242841.0,3500.0,Petrol,Automatic,6615000,1
Lexus,2012.0,Foreign Used,135295.0,3500.0,Petrol,Automatic,7072000,1
Mercedes-Benz,2013.0,Nigerian Used,90604.0,4700.0,Petrol,Automatic,15600000,1
Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic,3328000,0
Lexus,2007.0,Nigerian Used,177336.0,3500.0,Petrol,Automatic,3650000,0
Toyota,2010.0,Foreign Used,159981.0,3500.0,Petrol,Automatic,7560000,1
Land Rover,2010.0,Nigerian Used,140366.0,50000.0,Petrol,Automatic,4200000,0
Lexus,2012.0,Foreign Used,134949.0,3500.0,Petrol,Automatic,10192000,1
Toyota,2008.0,Foreign Used,197403.0,3500.0,Petrol,Automatic,4200000,0
Lexus,2007.0,Foreign Used,258585.0,35000.0,Petrol,Automatic,4160000,0
Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic,4992000,0
Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic,5200000,1
Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic,8320000,1
Mercedes-Benz,2017.0,Nigerian Used,33853.0,3000.0,Petrol,Automatic,33280000,1
Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic,10400000,1
Lexus,2007.0,Foreign Used,175836.0,3500.0,Petrol,Automatic,4680000,0
Toyota,2010.0,Foreign Used,214972.0,2500.0,Petrol,Automatic,3675000,0
Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic,13520000,1
Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic,3328000,0
Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic,15600000,1
Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic,3150000,0
Lexus,2007.0,Foreign Used,110621.0,2500.0,Petrol,Automatic,4095000,0
GMC,2008.0,Nigerian Used,167643.0,3600.0,Petrol,Automatic,3360000,0
Mercedes-Benz,2015.0,Foreign Used,111697.0,3200.0,Petrol,Automatic,11550000,1
Lexus,2005.0,Foreign Used,184460.0,3000.0,Petrol,Automatic,3675000,0
Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic,5200000,1
Toyota,2009.0,Foreign Used,176951.0,2700.0,Petrol,Automatic,6300000,1
Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic,4515000,0
Acura,2010.0,Foreign Used,147282.0,3700.0,Petrol,Automatic,9360000,1
Lexus,2010.0,Nigerian Used,203171.0,4600.0,Petrol,Automatic,13520000,1
Mercedes-Benz,2014.0,Foreign Used,33820.0,3500.0,Petrol,Automatic,11440000,1
Lexus,2007.0,Foreign Used,158117.0,3500.0,Petrol,Automatic,3675000,0
Land Rover,2016.0,Foreign Used,102429.0,35.0,Petrol,Automatic,36750000,1
Toyota,2009.0,Foreign Used,127674.0,2700.0,Petrol,Automatic,7140000,1
Mercedes-Benz,2009.0,Nigerian Used,100337.0,4600.0,Petrol,Automatic,4472000,0
Toyota,2014.0,Foreign Used,40470.0,4000.0,Petrol,Automatic,26000000,1
Toyota,2015.0,Nigerian Used,37591.0,3500.0,Petrol,Automatic,12480000,1
Land Rover,2012.0,Nigerian Used,22281.0,4900.0,Petrol,Automatic,8320000,1
Toyota,2011.0,Foreign Used,185047.0,2500.0,Petrol,Automatic,4200000,0
Toyota,2012.0,Foreign Used,170038.0,2400.0,Petrol,Automatic,5250000,1
Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic,4515000,0
Lexus,2007.0,Foreign Used,258585.0,35000.0,Petrol,Automatic,4160000,0
Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic,11232000,1
Toyota,2018.0,Foreign Used,106543.0,2800.0,Petrol,Automatic,13520000,1
Toyota,2008.0,Foreign Used,86802.0,2400.0,Petrol,Automatic,3045000,0
Land Rover,2003.0,Foreign Used,,3500.0,Petrol,Automatic,3150000,0
Toyota,2013.0,Foreign Used,195785.0,3500.0,Petrol,Automatic,10400000,1
Toyota,2008.0,Nigerian Used,155618.0,2400.0,Petrol,Automatic,3016000,0
Mercedes-Benz,2016.0,Foreign Used,12053.0,35000.0,Petrol,Automatic,13520000,1
Lexus,2017.0,Foreign Used,26250.0,3500.0,Petrol,Automatic,23920000,1
Lexus,2010.0,Foreign Used,193624.0,3500.0,Petrol,Automatic,6032000,1
Lexus,2005.0,Foreign Used,124007.0,3300.0,Petrol,Automatic,3150000,0
Toyota,2015.0,Foreign Used,261250.0,2500.0,Petrol,Automatic,6300000,1
Mercedes-Benz,2014.0,Nigerian Used,51111.0,2000.0,Petrol,Automatic,8320000,1
Mercedes-Benz,2018.0,Foreign Used,115896.0,3500.0,Petrol,Automatic,24150000,1
Mercedes-Benz,2004.0,Foreign Used,204436.0,2600.0,Petrol,Automatic,3675000,0
Mercedes-Benz,2012.0,Foreign Used,280554.0,3500.0,Petrol,Automatic,9360000,1
Toyota,2012.0,Foreign Used,373365.0,2500.0,Petrol,Automatic,4725000,0
Mercedes-Benz,2018.0,Foreign Used,56263.0,3000.0,Petrol,Automatic,52000000,1
Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic,5200000,1
Toyota,2009.0,Foreign Used,104917.0,2400.0,Petrol,Automatic,3465000,0
Mercedes-Benz,2013.0,Foreign Used,225174.0,3500.0,Petrol,Automatic,13520000,1
Lexus,2007.0,Foreign Used,203757.0,3500.0,Petrol,Automatic,4576000,0
Lexus,2005.0,Foreign Used,123282.0,3000.0,Petrol,Automatic,3150000,0
Toyota,2012.0,Foreign Used,172079.0,2500.0,Petrol,Automatic,5250000,1
Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic,9660000,1
Toyota,2017.0,Foreign Used,78320.0,2500.0,Petrol,Automatic,7035000,1
Toyota,2009.0,Foreign Used,104917.0,2400.0,Petrol,Automatic,3465000,0
Lexus,2007.0,Foreign Used,203757.0,3500.0,Petrol,Automatic,4576000,0
Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic,4515000,0
Toyota,2014.0,Foreign Used,115296.0,3500.0,Petrol,Automatic,15600000,1
Lexus,2008.0,Nigerian Used,142273.0,3500.0,Petrol,Automatic,4680000,0
Land Rover,2018.0,Foreign Used,59656.0,3000.0,Diesel,Automatic,42000000,1
Mercedes-Benz,2009.0,Nigerian Used,100337.0,4600.0,Petrol,Automatic,4472000,0
Toyota,2011.0,Foreign Used,145489.0,2500.0,Petrol,Automatic,3885000,0
Toyota,2019.0,Foreign Used,63646.0,2500.0,Petrol,Automatic,16800000,1
Mercedes-Benz,2004.0,Foreign Used,204436.0,2600.0,Petrol,Automatic,3675000,0
Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic,3150000,0
Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic,10400000,1
Mercedes-Benz,2015.0,Nigerian Used,61515.0,3500.0,Petrol,Automatic,14560000,1
Toyota,2012.0,Nigerian Used,47180.0,2700.0,Petrol,Automatic,14560000,1
Toyota,2011.0,Foreign Used,185047.0,2500.0,Petrol,Automatic,4200000,0
Toyota,2009.0,Foreign Used,127674.0,2700.0,Petrol,Automatic,7140000,1
Lexus,2007.0,Foreign Used,110621.0,2500.0,Petrol,Automatic,4095000,0
Lexus,2008.0,Foreign Used,73213.0,2500.0,Petrol,Automatic,3360000,0
Lexus,2004.0,Foreign Used,272206.0,4700.0,Petrol,Automatic,11440000,1
Lexus,2008.0,Foreign Used,227424.0,2500.0,Petrol,Automatic,4472000,0
Mercedes-Benz,,,226924.0,,,Automatic,6394000,1
Lexus,2006.0,Nigerian Used,160209.0,2500.0,Petrol,Automatic,4160000,0
Mercedes-Benz,2017.0,Foreign Used,62879.0,2000.0,Petrol,Automatic,13650000,1
Mercedes-Benz,2011.0,Nigerian Used,101316.0,3500.0,Petrol,Automatic,5720000,1
Lexus,2006.0,Nigerian Used,210014.0,4700.0,Petrol,Automatic,4160000,0
Mercedes-Benz,2015.0,Nigerian Used,61515.0,3500.0,Petrol,Automatic,14560000,1
Toyota,2015.0,Nigerian Used,37591.0,3500.0,Petrol,Automatic,12480000,1
Mercedes-Benz,2009.0,Foreign Used,232438.0,3500.0,Petrol,Automatic,6300000,1
Toyota,2011.0,Foreign Used,317231.0,2400.0,Petrol,Automatic,4472000,0
Toyota,2012.0,Foreign Used,325938.0,2500.0,Petrol,Automatic,5250000,1
Mercedes-Benz,2012.0,Foreign Used,148637.0,3500.0,Petrol,Automatic,13000000,1
Toyota,2009.0,Nigerian Used,149599.0,3500.0,Petrol,Automatic,5200000,1
Toyota,2015.0,Foreign Used,354563.0,2400.0,Petrol,Manual,15750000,1
Lexus,2007.0,Foreign Used,260907.0,3500.0,Petrol,Automatic,3885000,0
Toyota,2011.0,Foreign Used,89330.0,3500.0,Petrol,Automatic,7875000,1
Acura,2007.0,Foreign Used,196814.0,3700.0,Petrol,Automatic,3570000,0
Lexus,2006.0,Nigerian Used,154378.0,,,,4725000,0
